Stage,Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
Finaldurchgang - Qualifikation,25,Tue Jun 9 2020,SKN St. Pölten,0-3,FC Admira Wacker Mödling,2020,Jun,9,9/Jun/2020,Tue,3,0,3,FC Admira Wacker Mödling
Finaldurchgang - Qualifikation,25,Tue Jun 9 2020,FK Austria Wien,0-2,SCR Altach,2020,Jun,9,9/Jun/2020,Tue,2,0,2,SCR Altach
Finaldurchgang - Meister,25,Wed Jun 10 2020,Wolfsberger AC,02-Apr,TSV Hartberg,2020,Jun,10,10/Jun/2020,Wed,6,2,4,TSV Hartberg
Finaldurchgang - Meister,25,Wed Jun 10 2020,LASK Linz,0-1,SK Rapid Wien,2020,Jun,10,10/Jun/2020,Wed,1,0,1,SK Rapid Wien
Finaldurchgang - Meister,25,Wed Jun 10 2020,SK Sturm Graz,01-May,FC RB Salzburg,2020,Jun,10,10/Jun/2020,Wed,6,1,5,FC RB Salzburg
Finaldurchgang - Qualifikation,26,Sat Jun 13 2020,FC Admira Wacker Mödling,0-3,WSG Tirol,2020,Jun,13,13/Jun/2020,Sat,3,0,3,WSG Tirol
Finaldurchgang - Qualifikation,26,Sat Jun 13 2020,SV Mattersburg,01-Apr,FK Austria Wien,2020,Jun,13,13/Jun/2020,Sat,5,1,4,FK Austria Wien
Finaldurchgang - Qualifikation,26,Sat Jun 13 2020,SCR Altach,2-0,SKN St. Pölten,2020,Jun,13,13/Jun/2020,Sat,2,2,0,SCR Altach
Finaldurchgang - Meister,26,Sun Jun 14 2020,SK Rapid Wien,02-Jan,Wolfsberger AC,2020,Jun,14,14/Jun/2020,Sun,3,2,1,SK Rapid Wien
Finaldurchgang - Meister,26,Sun Jun 14 2020,TSV Hartberg,01-Feb,SK Sturm Graz,2020,Jun,14,14/Jun/2020,Sun,3,1,2,SK Sturm Graz
Finaldurchgang - Meister,26,Sun Jun 14 2020,FC RB Salzburg,03-Jan,LASK Linz,2020,Jun,14,14/Jun/2020,Sun,4,3,1,FC RB Salzburg
Finaldurchgang - Qualifikation,27,Tue Jun 16 2020,SKN St. Pölten,1-0,SV Mattersburg,2020,Jun,16,16/Jun/2020,Tue,1,1,0,SKN St. Pölten
Finaldurchgang - Qualifikation,27,Tue Jun 16 2020,FK Austria Wien,1-0,WSG Tirol,2020,Jun,16,16/Jun/2020,Tue,1,1,0,FK Austria Wien
